video_name,question_id,question,answers,correct_answer
couple.mp4,1,Who drops paper on the floor?,a. 2 b. 1,b
couple.mp4,2,What color 1 locker?,a. green b. gray c. red,c
couple.mp4,3,What 2 do at the end of the video?,a. Dance b. Propose c. Climb,b
couple.mp4,4,What is the relationship between the characters?,a. Couple b. Brothers c. Father and daughter,a
couple.mp4,5,Who speaks on the phone?,a. 1 b. 2,a
award_winning_funny_commercial.mp4,6,Who is receiving acupuncture treatment in the video?,a. 1 b. 2,a
award_winning_funny_commercial.mp4,7,Who wears glasses?,a. 2 b. 1,a
award_winning_funny_commercial.mp4,8,Who is shirtless?,a. 1 b. 2,a
award_winning_funny_commercial.mp4,9,What is the color of 2's shirt?,a. Black b. Yellow,b
domestic_violence_awareness.mp4,10,Who is drinking beer?,a. 2 b. 1,a
domestic_violence_awareness.mp4,11,Who is crying?,a. 2 b. 1,b
domestic_violence_awareness.mp4,12,Who is portrayed as the harasser and who is identified as the victim?,a. 2 is the harasser and 1 is the victim b. 2 is the harasser and 2 is the victim,a
domestic_violence_awareness.mp4,13,Who violently cut the credit card with scissors?,a. 2 b. 1,a
doritos_time_machine.mp4,14,Who is holding a megaphone?,a. 1 b. 2,b
doritos_time_machine.mp4,15,Who is the child in the video?,a. 1 b. 2,b
doritos_time_machine.mp4,16,Who stood inside the cardboard box?,a. 2 b. 1,b
doritos_time_machine.mp4,17,Who was standing near the dog?,a. 2 b. 1,b
drake_sprite_commercial.mp4,18,What does 1 do after drinking the Sprite?,a. He starts singing into the microphone b. He starts eating,a
drake_sprite_commercial.mp4,19,Is 1 alone in the room?,"a. Yes, he is the only person in the recording studio b. No, there are two more people who look like sound engineers",b
drake_sprite_commercial.mp4,20,Does 1 take off his headphones at the beginning of the video?,a. No b. Yes,b
drake_sprite_commercial.mp4,21,Does 1 speak to the sound engineer in the studio?,a. Yes b. No,a
duracell_the_teddy_bear.mp4,22,Who appears on the computer screen in a visual conference situation?,a. 1 b. 3,b
duracell_the_teddy_bear.mp4,23,Who is sleeping in the bed beside a teddy bear?,a. 2 b. 3,a
duracell_the_teddy_bear.mp4,24,Who is wearing a yellow shirt near the computer?,a. 1 b. 3,a
duracell_the_teddy_bear.mp4,25,Who speaks to 3 through a computer?,a. Both 1 and 2 b. No one,a
